City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,weno,7.4515,151.8468,28.97,84,100,4.12,FM,1683693846
164,port alfred,-33.5906,26.891,16.45,75,2,3.54,ZA,1683693847
165,mugia,43.1041,-9.2179,11.06,79,70,2.89,ES,1683693847
166,kievka,50.2619,71.5514,16.89,46,100,4.63,KZ,1683693847
167,brookings,44.3114,-96.7984,17.88,81,0,6.69,US,1683693848
168,pudozh,61.8099,36.5345,8.46,54,93,2.26,RU,1683693849
169,klyuchi,52.2667,79.1667,15.77,25,97,4.28,RU,1683693849
170,polyarnyy,69.1989,33.4478,2.5,99,100,4.3,RU,1683693849
171,papao,-17.75,-149.55,25.82,85,63,8.58,PF,1683693850
172,daru,-9.0763,143.2092,26.5,89,100,7.52,PG,1683693850
173,west island,-12.1568,96.8225,28.99,84,80,6.69,CC,1683693851
174,mount isa,-20.7333,139.5,24.87,13,0,5.66,AU,1683693652
175,ancud,-41.8697,-73.8203,10.97,95,92,1.63,CL,1683693852
176,isafjordur,66.0755,-23.124,3.7,96,100,1.81,IS,1683693639
177,kirkwall,58.9848,-2.9587,8.03,93,100,2.57,GB,1683693853
178,castillos,-34.1667,-53.8333,11.75,79,92,2.33,UY,1683693853
179,uturoa,-16.7333,-151.4333,27.47,75,66,3.74,PF,1683693644
180,east london,-33.0153,27.9116,17.52,77,0,3.6,ZA,1683693854
181,crane,31.3974,-102.3501,24.15,54,70,10.03,US,1683693854
182,victoria point,-27.5833,153.3,25.94,56,0,4.47,AU,1683693855
183,balakhta,55.38,91.6,10.15,34,100,4.23,RU,1683693855
184,nova xavantina,-14.6667,-52.35,20.48,70,72,1.25,BR,1683693856
185,lanivtsi,49.8633,26.0908,6.22,73,1,2.9,UA,1683693856
186,touros,-5.1989,-35.4608,24.8,88,16,4.66,BR,1683693652
187,redencao,-4.2258,-38.7306,22.19,96,30,0.34,BR,1683693857
188,keflavik,64.0049,-22.5624,8.24,100,75,2.06,IS,1683693857
189,shibetsu,43.659,145.132,11.39,71,75,4.63,JP,1683693857
190,palmer,42.1584,-72.3287,9.23,68,0,0.45,US,1683693858
191,manacapuru,-3.2997,-60.6206,24.41,94,89,1.37,BR,1683693858
192,cachoeirinha,-29.9511,-51.0939,16.85,87,20,1.03,BR,1683693775
193,rundu,-17.9333,19.7667,13.51,45,0,1.74,NA,1683693859
194,kelibia,36.8476,11.0939,16.78,89,76,5.34,TN,1683693859
195,mataram,-8.5833,116.1167,30.45,75,100,1.33,ID,1683693804
196,male,4.1748,73.5089,30.97,79,75,5.66,MV,1683693860
197,whitby,54.4877,-0.615,9.52,84,37,2.24,GB,1683693638
198,carrizo springs,28.5219,-99.8606,23.34,83,40,1.98,US,1683693861
199,soio,-6.1349,12.3689,25.67,90,7,1.66,AO,1683693862
200,fort bragg,35.139,-79.006,20.08,84,100,4.63,US,1683693687
201,saldanha,-33.0117,17.9442,10.03,62,84,2.49,ZA,1683693862
202,ngorongoro,-3.2397,35.4875,10.97,92,93,3.0,TZ,1683693863
203,mata-utu,-13.2816,-176.1745,28.24,75,100,3.51,WF,1683693863
204,rockenhausen,49.6333,7.8333,12.31,41,100,4.2,DE,1683693863
205,yemva,62.59,50.8594,2.89,98,100,1.82,RU,1683693864
206,juan griego,11.0817,-63.9655,25.07,100,69,5.66,VE,1683693864
207,mount gambier,-37.8333,140.7667,15.58,57,87,1.93,AU,1683693865
208,brisas de zicatela,15.8369,-97.0419,28.29,65,40,2.57,MX,1683693669
209,san fernando de apure,7.8878,-67.4724,24.33,91,99,1.37,VE,1683693865
210,orange walk,17.8333,-88.8333,23.16,97,31,1.59,BZ,1683693866
211,arraial do cabo,-22.9661,-42.0278,23.27,86,100,2.7,BR,1683693653
212,san pedro pochutla,15.7333,-96.4667,28.17,74,47,2.68,MX,1683693867
213,calvinia,-31.4707,19.776,13.42,27,92,3.78,ZA,1683693867
214,shalqar,47.8333,59.6,25.74,19,100,5.88,KZ,1683693637
215,jamestown,42.097,-79.2353,9.8,68,0,0.45,US,1683693700
216,ribeira grande,38.5167,-28.7,18.21,98,93,8.49,PT,1683693868
217,luganville,-15.5333,167.1667,27.47,69,22,3.79,VU,1683693869
218,san patricio,28.017,-97.5169,26.92,86,73,4.52,US,1683693869
219,laojunmiao,39.8333,97.7333,13.48,15,96,9.47,CN,1683693870
220,mankono,8.0586,-6.1897,23.81,79,100,1.52,CI,1683693870
221,udomlya,57.8794,34.9925,10.55,54,98,2.47,RU,1683693870
222,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,50,75,6.0,RU,1683693814
223,shenkursk,62.1091,42.896,11.73,58,93,3.1,RU,1683693871
224,dubnany,48.9169,17.09,11.32,74,43,6.89,CZ,1683693871
225,hithadhoo,-0.6,73.0833,28.17,73,71,3.55,MV,1683693872
226,bouarfa,32.53,-1.95,18.13,36,0,1.75,MA,1683693872
227,aquin,18.2833,-73.4,25.6,83,19,1.51,HT,1683693873
228,vila velha,-20.3297,-40.2925,21.64,97,0,1.54,BR,1683693706
229,codrington,-38.2667,141.9667,15.05,55,100,1.91,AU,1683693874
230,zhaotong,27.3167,103.7167,11.59,82,100,3.01,CN,1683693874
231,vilyuysk,63.7553,121.6247,7.2,85,100,4.48,RU,1683693874
232,chengde,40.9725,117.9361,26.35,19,51,2.57,CN,1683693875
233,trondheim,63.4305,10.3951,13.03,61,100,1.62,NO,1683693594
234,kesan,40.8558,26.6303,9.84,79,99,6.09,TR,1683693876
235,aljezur,37.3191,-8.8033,13.28,68,27,5.95,PT,1683693876
236,quezon,7.7303,125.0989,33.62,47,47,0.79,PH,1683693876
237,bamboo flat,11.7,92.7167,29.47,77,99,11.21,IN,1683693877
238,mount pearl,47.5166,-52.7813,3.97,78,75,11.83,CA,1683693640
239,libertad,8.9442,125.5019,32.06,54,8,2.61,PH,1683693877
240,akureyri,65.6835,-18.0878,4.96,93,100,2.06,IS,1683693878
241,kannus,63.9,23.9,9.18,63,100,3.56,FI,1683693878
242,constantia,44.1833,28.65,9.38,73,6,3.45,RO,1683693846
243,chamical,-30.36,-66.314,16.72,65,30,3.9,AR,1683693879
244,ulsteinvik,62.3432,5.8487,11.5,85,100,0.89,NO,1683693879
245,revelstoke,50.9832,-118.2023,13.01,67,0,3.09,CA,1683693880
246,shubarshi,48.5872,57.1869,22.71,42,48,6.6,KZ,1683693880
247,tura,25.5198,90.2201,35.01,25,1,2.93,IN,1683693639
248,undurkhaan,47.3194,110.6556,16.74,45,100,5.52,MN,1683693881
249,galliano,29.4422,-90.2992,26.0,83,100,2.06,US,1683693881
250,selfoss,63.9331,-20.9971,8.91,90,100,1.53,IS,1683693657
251,usinsk,65.9939,57.5281,0.11,91,100,5.51,RU,1683693882
252,caluula,11.9661,50.7569,28.55,66,86,2.28,SO,1683693882
253,sinop,41.7711,34.8709,8.24,99,100,1.71,TR,1683693883
254,cockburn town,21.4612,-71.1419,26.53,84,2,6.62,TC,1683693883
255,island harbour,50.724,-1.2758,11.2,93,97,0.89,GB,1683693884
256,ylistaro,62.9396,22.5131,9.0,69,100,2.24,FI,1683693884
257,tindouf,27.6711,-8.1474,29.25,13,0,2.57,DZ,1683693884
258,barcelos,41.5388,-8.6151,12.69,86,94,2.85,PT,1683693680
259,atafu village,-8.5421,-172.5159,29.1,76,30,6.48,TK,1683693885
260,kavaratti,10.5669,72.642,29.16,68,99,4.56,IN,1683693885
261,gisborne,-38.6533,178.0042,15.87,63,4,5.4,NZ,1683693886
262,lucapa,-8.4192,20.7447,16.66,75,82,1.62,AO,1683693886
263,trelleborg,55.3751,13.1569,10.41,78,34,10.18,SE,1683693887
264,new plymouth,-39.0667,174.0833,13.09,100,92,10.79,NZ,1683693887
